# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             205   N   00002950   00038e63   00002954   x07_t2     00000000
             206   N   00002954   0002d303   00002970   ---        --------
             209   N   00002970   da430313   00002974   x06_t1     00002970
             210   N   00002974   04628e63   00002978   x06_t1     00002714
             211   N   00002978   00000317   000029d4   ---        --------
             214   N   000029d4   34129073   000029d8   x05_t0     0000271c
             215   N   000029d8   30200073   000029dc   ---        --------
             217   N   000029dc   00200337   0000271c   ---        --------
             220   N   0000271c   80028293   00002720   x05_t0     00002000
             221   N   00002720   3002b073   00002724   x05_t0     00001800
             222   N   00002724   00001337   00002728   ---        --------
             223   N   00002728   00001337   00002728   ---        --------
             224   N   00002728   80030313   0000272c   x06_t1     00001000
             225   N   0000272c   30032073   00002730   x06_t1     00000800
             226   N   00002730   300023f3   00002734   ---        --------
             227   N   00002734   300023f3   00002734   ---        --------
             228   N   00002734   0053f3b3   00002738   x07_t2     00001880
             229   N   00002738   0e731063   0000273c   x07_t2     00001800
             230   N   0000273c   34415073   0000281c   ---        --------
             233   N   0000281c   000e0593   00002820   ---        --------
             234   N   00002820   00000513   00002824   x11_a1     00000002
             235   N   00002824   00000073   00002828   x10_a0     00000000
             236   E   00002828   00000013   00001000   mstatus    00001800
             236   E   00002828   00000013   00001000   mepc       00002828
             236   E   00002828   00000013   00001000   mcause     0000000b
             236   E   00002828   00000013   00001000   mtval      00000000
             239   N   00001000   000047a1   00001004   x14_a4     0000000b
             240   N   00001004   04f70263   00001006   x15_a5     00000008
             241   N   00001006   000047a5   0000100a   ---        --------
             242   N   0000100a   02f70f63   0000100c   x15_a5     00000009
             243   N   0000100c   000047ad   00001010   ---        --------
             244   N   00001010   02f70c63   00001012   x15_a5     0000000b
             245   N   00001012   47ad0837   0000104a   ---        --------
             249   N   0000104a   08370013   00002ae0   ---        --------
             252   N   00002ae0   61428293   00002ae4   x05_t0     fffffae0
             253   N   00002ae4   00008282   00002ae8   x05_t0     000000f4
             254   N   00002ae8   00000013   000000f4   ---        --------
             257   N   000000f4   0000006f   000000f8   ---        --------
             258   N   000000f8   ffffffff   000000f8   ---        --------
